Aggregation Strategy,NCCL Algo,NCLL Proto,Multiple CUDA Streams,Contiguous Memory,Average Time (s),Theoretical Throughput (Gb/s),Real Throughput (Gb/s),Max GPU RAM Allocated (GB)
layer_by_layer,ring,SIMPLE,False,False,1.7195465026888996,113.00675649537033,112.07970802221918,16.060523008
layer_by_layer,ring,SIMPLE,False,True,1.721246327739209,111.88012346790377,111.96902317005292,16.060523008
layer_by_layer,ring,SIMPLE,True,False,1.659394509003808,116.37287385459518,116.14252602758114,16.060523008
layer_by_layer,ring,SIMPLE,True,True,1.6705403012844424,115.61343720449666,115.36762675154675,16.060523008
layer_by_layer,ring,LL,False,False,1.7344323573634028,111.95526670611105,111.11777817900769,16.060523008
layer_by_layer,ring,LL,False,True,1.7452032542787492,112.13226886369928,110.43199093256857,16.060523008
layer_by_layer,ring,LL,True,False,1.655778850040709,115.39814764864987,116.39614188045803,16.060523008
layer_by_layer,ring,LL,True,True,1.6704083293055494,114.85764436366483,115.37674146543763,16.060523008
layer_by_layer,ring,LL128,False,False,1.7267755589758356,108.37945921943009,111.61049213964291,16.060523008
layer_by_layer,ring,LL128,False,True,1.7135788869733612,111.52804376963891,112.4700306575358,16.060523008
layer_by_layer,ring,LL128,True,False,1.7214844450354576,115.64571344273983,111.95353551279425,16.060523008
layer_by_layer,ring,LL128,True,True,1.6856099260039628,114.91852075568191,114.33622155328177,16.060523008
layer_by_layer,tree,SIMPLE,False,False,1.8039275479968637,110.3179074493924,106.83703465031573,16.060523008
layer_by_layer,tree,SIMPLE,False,True,1.7154616423261662,111.97851391898278,112.34659242550195,16.060523008
layer_by_layer,tree,SIMPLE,True,False,1.6726143706279497,114.31320878482612,115.22456899592747,16.060523008
layer_by_layer,tree,SIMPLE,True,True,1.6634884816594422,114.19703793471163,115.85669036899041,16.060523008
layer_by_layer,tree,LL,False,False,1.7170454346730064,111.89844377812815,112.24296460664289,16.060523008
layer_by_layer,tree,LL,False,True,1.7584512116542708,106.60569390074808,109.60000975556888,16.060523008
layer_by_layer,tree,LL,True,False,1.6648222956185539,115.16027406832607,115.76386888811686,16.060523008
layer_by_layer,tree,LL,True,True,1.6776803059813876,114.77217886591913,114.87663606998206,16.060523008
layer_by_layer,tree,LL128,False,False,1.731007413705811,106.08023785496388,111.33763404248154,16.060523008
layer_by_layer,tree,LL128,False,True,1.7643566886739184,116.30936500761322,109.23316764075187,16.060523008
layer_by_layer,tree,LL128,True,False,1.6639860526192933,114.94109747147583,115.82204649409657,16.060523008
layer_by_layer,tree,LL128,True,True,1.6721569936877738,115.25312059708484,115.25608580983872,16.060523008
layer_by_layer,collnet,SIMPLE,False,False,1.7608024086027096,108.98406563140969,109.4536610186367,16.060523008
layer_by_layer,collnet,SIMPLE,False,True,1.7399085510211687,112.68632433847083,110.7680457337181,16.060523008
layer_by_layer,collnet,SIMPLE,True,False,1.6661173306250323,114.44983966943495,115.67388827274252,16.060523008
layer_by_layer,collnet,SIMPLE,True,True,1.6768247520085424,115.76528039842148,114.93524873195464,16.060523008
layer_by_layer,collnet,LL,False,False,1.7336276782831799,111.68155865415518,111.16935450803243,16.060523008
layer_by_layer,collnet,LL,False,True,1.7505526803433895,107.30526785995173,110.09452735475213,16.060523008
layer_by_layer,collnet,LL,True,False,1.6911552099821467,115.93291537398605,113.96131402630667,16.060523008
layer_by_layer,collnet,LL,True,True,1.6911880313418806,114.32177270925547,113.95910234717098,16.060523008
layer_by_layer,collnet,LL128,False,False,1.725809122280528,110.92474228428671,111.67299295377846,16.060523008
layer_by_layer,collnet,LL128,False,True,1.7952412210094433,110.48124811458193,107.35396875726386,16.060523008
layer_by_layer,collnet,LL128,True,False,1.6748927300019811,114.94517273069042,115.06782882254915,16.060523008
layer_by_layer,collnet,LL128,True,True,1.6654602355944614,115.15456728181628,115.719526550695,16.060523008
